id	codigo	descricao	data_publicacao_fake	data_publicacao
	1301803	Ipixuna	1012009	01-01-2009
	1301852	Iranduba	1012009	01-01-2009
	1301902	Itacoatiara	1012009	01-01-2009
	1301951	Itamarati	1012009	01-01-2009
	1302009	Itapiranga	1012009	01-01-2009
	1302108	Japurá	1012009	01-01-2009
	1302207	Juruá	1012009	01-01-2009
	1302306	Jutaí	1012009	01-01-2009
	1302405	Lábrea	1012009	01-01-2009
	1302504	Manacapuru	1012009	01-01-2009
	1302553	Manaquiri	1012009	01-01-2009
	1302603	Manaus	1012009	01-01-2009
	1302702	Manicoré	1012009	01-01-2009
	1302801	Maraã	1012009	01-01-2009
	1302900	Maués	1012009	01-01-2009
	1303007	Nhamundá	1012009	01-01-2009
	1303106	Nova Olinda do Norte	1012009	01-01-2009
	1303205	Novo Airão	1012009	01-01-2009
	1303304	Novo Aripuanã	1012009	01-01-2009
	1303403	Parintins	1012009	01-01-2009
	1303502	Pauini	1012009	01-01-2009
	1303536	Presidente Figueiredo	1012009	01-01-2009
	1303569	Rio Preto da Eva	1012009	01-01-2009
	1303601	Santa Isabel do Rio Negro	1012009	01-01-2009
	1303700	Santo Antônio do Içá	1012009	01-01-2009
	1303809	São Gabriel da Cachoeira	1012009	01-01-2009
	1303908	São Paulo de Olivença	1012009	01-01-2009
	1303957	São Sebastião do Uatumã	1012009	01-01-2009
	1304005	Silves	1012009	01-01-2009
	1304062	Tabatinga	1012009	01-01-2009
	1304104	Tapauá	1012009	01-01-2009
	1304203	Tefé	1012009	01-01-2009
	1304237	Tonantins	1012009	01-01-2009
	1304260	Uarini	1012009	01-01-2009
	1304302	Urucará	1012009	01-01-2009
	1304401	Urucurituba	1012009	01-01-2009
	2800100	Amparo de São Francisco	1012009	01-01-2009
	2800209	Aquidabã	1012009	01-01-2009
	2800308	Aracaju	1012009	01-01-2009
	2800407	Arauá	1012009	01-01-2009
	2800506	Areia Branca	1012009	01-01-2009
	2800605	Barra dos Coqueiros	1012009	01-01-2009
	2800670	Boquim	1012009	01-01-2009
	2800704	Brejo Grande	1012009	01-01-2009
	2801009	Campo do Brito	1012009	01-01-2009
	2801108	Canhoba	1012009	01-01-2009
	2801207	Canindé de São Francisco	1012009	01-01-2009
	2801306	Capela	1012009	01-01-2009
	2801405	Carira	1012009	01-01-2009
	2801504	Carmópolis	1012009	01-01-2009
	2801603	Cedro de São João	1012009	01-01-2009
	2801702	Cristinápolis	1012009	01-01-2009
