versão=1.0
01|AWB|01012009|
02|MAWB|01012009|
03|HAWB|01012009|
04|COMAT|01012009|
06|R. EXPRESSAS|01012009|
07|ETIQ. REXPRESSAS|01012009|
08|HR. EXPRESSAS|01012009|
09|AV7|01012009|
10|BL|01012009|
11|MBL|01012009|
12|HBL|01012009|
13|CRT|01012009|
14|DSIC|01012009|
16|COMAT BL|01012009|
17|RWB|01012009|
18|HRWB|01012009|
19|TIF/DTA|01012009|
20|CP2|01012009|
91|NÂO IATA|01012009|
92|MNAO IATA|01012009|
93|HNAO IATA|01012009|
99|OUTROS|01012009|
