codigo,unidade,data_publicacao,descricao_unidade,id
90105090,UN,2016-01-01,Unidade,
90106000,UN,2016-01-01,Unidade,
90109010,KG,2016-01-01,Quilograma,
90109090,KG,2016-01-01,Quilograma,
90111000,UN,2016-01-01,Unidade,
90112010,UN,2016-01-01,Unidade,
90112020,UN,2016-01-01,Unidade,
90112030,UN,2016-01-01,Unidade,
90118010,UN,2016-01-01,Unidade,
90118090,UN,2016-01-01,Unidade,
90119010,KG,2016-01-01,Quilograma,
90119090,KG,2016-01-01,Quilograma,
90121010,UN,2016-01-01,Unidade,
90121090,UN,2016-01-01,Unidade,
90129010,KG,2016-01-01,Quilograma,
90129090,KG,2016-01-01,Quilograma,
90131010,UN,2016-01-01,Unidade,
90131090,UN,2016-01-01,Unidade,
90132000,UN,2016-01-01,Unidade,
90138010,UN,2016-01-01,Unidade,
90138090,UN,2016-01-01,Unidade,
90139000,KG,2016-01-01,Quilograma,
90141000,UN,2016-01-01,Unidade,
90142010,UN,2016-01-01,Unidade,
90142020,UN,2016-01-01,Unidade,
90142030,UN,2016-01-01,Unidade,
90142090,UN,2016-01-01,Unidade,
90148010,UN,2016-01-01,Unidade,
90148090,UN,2016-01-01,Unidade,
90149000,KG,2016-01-01,Quilograma,
90151000,UN,2016-01-01,Unidade,
90152010,UN,2016-01-01,Unidade,
90152090,UN,2016-01-01,Unidade,
90153000,UN,2016-01-01,Unidade,
90154000,UN,2016-01-01,Unidade,
90158010,UN,2016-01-01,Unidade,
90158090,UN,2016-01-01,Unidade,
90159010,KG,2016-01-01,Quilograma,
90159090,KG,2016-01-01,Quilograma,
90160010,UN,2016-01-01,Unidade,
90160090,UN,2016-01-01,Unidade,
90171010,UN,2016-01-01,Unidade,
90171090,UN,2016-01-01,Unidade,
90172000,UN,2016-01-01,Unidade,
90173010,UN,2016-01-01,Unidade,
90173020,UN,2016-01-01,Unidade,
90173090,UN,2016-01-01,Unidade,
90178010,UN,2016-01-01,Unidade,
90178090,UN,2016-01-01,Unidade,
90179010,KG,2016-01-01,Quilograma,
90179090,KG,2016-01-01,Quilograma,
90181100,UN,2016-01-01,Unidade,
90181210,UN,2016-01-01,Unidade,
90181290,UN,2016-01-01,Unidade,
90181300,UN,2016-01-01,Unidade,
90181410,UN,2016-01-01,Unidade,
90181420,UN,2016-01-01,Unidade,
90181490,UN,2016-01-01,Unidade,
90181910,UN,2016-01-01,Unidade,
90181920,UN,2016-01-01,Unidade,
90181980,UN,2016-01-01,Unidade,
90181990,UN,2016-01-01,Unidade,
90182010,UN,2016-01-01,Unidade,
90182020,UN,2016-01-01,Unidade,
90182090,UN,2016-01-01,Unidade,
90183111,UN,2016-01-01,Unidade,
90183119,UN,2016-01-01,Unidade,
90183190,UN,2016-01-01,Unidade,
90183211,KG,2016-01-01,Quilograma,
90183212,KG,2016-01-01,Quilograma,
90183219,KG,2016-01-01,Quilograma,
90183220,KG,2016-01-01,Quilograma,
90183910,UN,2016-01-01,Unidade,
90183921,UN,2016-01-01,Unidade,
90183922,UN,2016-01-01,Unidade,
90183923,UN,2016-01-01,Unidade,
90183924,UN,2016-01-01,Unidade,
90183929,UN,2016-01-01,Unidade,
90183930,UN,2016-01-01,Unidade,
90183991,UN,2016-01-01,Unidade,
90183999,UN,2016-01-01,Unidade,
90184100,UN,2016-01-01,Unidade,
90184911,UN,2016-01-01,Unidade,
90184912,UN,2016-01-01,Unidade,
90184919,UN,2016-01-01,Unidade,
90184920,UN,2016-01-01,Unidade,
90184940,UN,2016-01-01,Unidade,
90184991,UN,2016-01-01,Unidade,
90184999,UN,2016-01-01,Unidade,
90185010,UN,2016-01-01,Unidade,
90185090,UN,2016-01-01,Unidade,
90189010,UN,2016-01-01,Unidade,
90189021,UN,2016-01-01,Unidade,
90189029,UN,2016-01-01,Unidade,
90189031,UN,2016-01-01,Unidade,
90189039,UN,2016-01-01,Unidade,
90189040,UN,2016-01-01,Unidade,
90189050,UN,2016-01-01,Unidade,
90189091,UN,2016-01-01,Unidade,
90189092,UN,2016-01-01,Unidade,
90189093,UN,2016-01-01,Unidade,
90189094,UN,2016-01-01,Unidade,
90189095,UN,2016-01-01,Unidade,
90189096,UN,2016-01-01,Unidade,
90189099,UN,2016-01-01,Unidade,
90191000,KG,2016-01-01,Quilograma,
90192010,KG,2016-01-01,Quilograma,
90192020,KG,2016-01-01,Quilograma,
90192030,KG,2016-01-01,Quilograma,
90192040,KG,2016-01-01,Quilograma,
90192090,KG,2016-01-01,Quilograma,
90200010,KG,2016-01-01,Quilograma,
90200090,KG,2016-01-01,Quilograma,
90211010,KG,2016-01-01,Quilograma,
90211020,KG,2016-01-01,Quilograma,
90211091,KG,2016-01-01,Quilograma,
90211099,KG,2016-01-01,Quilograma,
90212110,KG,2016-01-01,Quilograma,
90212190,KG,2016-01-01,Quilograma,
90212900,KG,2016-01-01,Quilograma,
90213110,KG,2016-01-01,Quilograma,
90213120,KG,2016-01-01,Quilograma,
90213190,KG,2016-01-01,Quilograma,
90213911,KG,2016-01-01,Quilograma,
90213919,KG,2016-01-01,Quilograma,
90213920,KG,2016-01-01,Quilograma,
90213930,KG,2016-01-01,Quilograma,
90213940,KG,2016-01-01,Quilograma,
90213980,KG,2016-01-01,Quilograma,
90213991,KG,2016-01-01,Quilograma,
90213999,KG,2016-01-01,Quilograma,
90214000,UN,2016-01-01,Unidade,
90215000,UN,2016-01-01,Unidade,
90219011,KG,2016-01-01,Quilograma,
90219019,KG,2016-01-01,Quilograma,
90219081,KG,2016-01-01,Quilograma,
90219082,KG,2016-01-01,Quilograma,
90219089,KG,2016-01-01,Quilograma,
90219091,KG,2016-01-01,Quilograma,
90219092,KG,2016-01-01,Quilograma,
90219099,KG,2016-01-01,Quilograma,
90221200,UN,2016-01-01,Unidade,
90221311,UN,2016-01-01,Unidade,
90221319,UN,2016-01-01,Unidade,
90221390,UN,2016-01-01,Unidade,
90221411,UN,2016-01-01,Unidade,
90221412,UN,2016-01-01,Unidade,
90221413,UN,2016-01-01,Unidade,
90221419,UN,2016-01-01,Unidade,
90221490,UN,2016-01-01,Unidade,
90221910,UN,2016-01-01,Unidade,
90221991,UN,2016-01-01,Unidade,
90221999,UN,2016-01-01,Unidade,
90222110,UN,2016-01-01,Unidade,
90222120,UN,2016-01-01,Unidade,
90222190,UN,2016-01-01,Unidade,
90222910,UN,2016-01-01,Unidade,
90222990,UN,2016-01-01,Unidade,
90223000,UN,2016-01-01,Unidade,
90229011,UN,2016-01-01,Unidade,
90229012,UN,2016-01-01,Unidade,
90229019,UN,2016-01-01,Unidade,
90229080,UN,2016-01-01,Unidade,
90229090,KG,2016-01-01,Quilograma,
90230000,KG,2016-01-01,Quilograma,
90241010,UN,2016-01-01,Unidade,
90241020,UN,2016-01-01,Unidade,
90241090,UN,2016-01-01,Unidade,
90248011,UN,2016-01-01,Unidade,
90248019,UN,2016-01-01,Unidade,
90248021,UN,2016-01-01,Unidade,
90248029,UN,2016-01-01,Unidade,
90248090,UN,2016-01-01,Unidade,
90249000,KG,2016-01-01,Quilograma,
90251110,UN,2016-01-01,Unidade,
90251190,UN,2016-01-01,Unidade,
90251910,UN,2016-01-01,Unidade,
90251990,UN,2016-01-01,Unidade,
90258000,UN,2016-01-01,Unidade,
90259010,KG,2016-01-01,Quilograma,
90259090,KG,2016-01-01,Quilograma,
90261011,UN,2016-01-01,Unidade,
90261019,UN,2016-01-01,Unidade,
90261021,UN,2016-01-01,Unidade,
90261029,UN,2016-01-01,Unidade,
90262010,UN,2016-01-01,Unidade,
90262090,UN,2016-01-01,Unidade,
90268000,UN,2016-01-01,Unidade,
90269010,KG,2016-01-01,Quilograma,
90269020,KG,2016-01-01,Quilograma,
90269090,KG,2016-01-01,Quilograma,
90271000,UN,2016-01-01,Unidade,
90272011,UN,2016-01-01,Unidade,
90272012,UN,2016-01-01,Unidade,
90272019,UN,2016-01-01,Unidade,
90272021,UN,2016-01-01,Unidade,
90272029,UN,2016-01-01,Unidade,
90273011,UN,2016-01-01,Unidade,
90273019,UN,2016-01-01,Unidade,
90273020,UN,2016-01-01,Unidade,
90275010,UN,2016-01-01,Unidade,
90275020,UN,2016-01-01,Unidade,
90275030,UN,2016-01-01,Unidade,
90275040,UN,2016-01-01,Unidade,
90275050,UN,2016-01-01,Unidade,
90275090,UN,2016-01-01,Unidade,
90278011,UN,2016-01-01,Unidade,
90278012,UN,2016-01-01,Unidade,
90278013,UN,2016-01-01,Unidade,
90278014,UN,2016-01-01,Unidade,
90278020,UN,2016-01-01,Unidade,
90278030,UN,2016-01-01,Unidade,
90278091,UN,2016-01-01,Unidade,
90278099,UN,2016-01-01,Unidade,
90279010,UN,2016-01-01,Unidade,
90279091,KG,2016-01-01,Quilograma,
90279093,KG,2016-01-01,Quilograma,
90279099,KG,2016-01-01,Quilograma,
90281011,UN,2016-01-01,Unidade,
90281019,UN,2016-01-01,Unidade,
90281090,UN,2016-01-01,Unidade,
90282010,UN,2016-01-01,Unidade,
90282020,UN,2016-01-01,Unidade,
90283011,UN,2016-01-01,Unidade,
90283019,UN,2016-01-01,Unidade,
90283021,UN,2016-01-01,Unidade,
90283029,UN,2016-01-01,Unidade,
90283031,UN,2016-01-01,Unidade,
