codigo,unidade,data_publicacao,descricao_unidade,id
52111900,KG,2016-01-01,Quilograma,
52112010,KG,2016-01-01,Quilograma,
52112020,KG,2016-01-01,Quilograma,
52112090,KG,2016-01-01,Quilograma,
52113100,KG,2016-01-01,Quilograma,
52113200,KG,2016-01-01,Quilograma,
52113900,KG,2016-01-01,Quilograma,
52114100,KG,2016-01-01,Quilograma,
52114210,KG,2016-01-01,Quilograma,
52114290,KG,2016-01-01,Quilograma,
52114300,KG,2016-01-01,Quilograma,
52114900,KG,2016-01-01,Quilograma,
52115100,KG,2016-01-01,Quilograma,
52115200,KG,2016-01-01,Quilograma,
52115900,KG,2016-01-01,Quilograma,
52121100,KG,2016-01-01,Quilograma,
52121200,KG,2016-01-01,Quilograma,
52121300,KG,2016-01-01,Quilograma,
52121400,KG,2016-01-01,Quilograma,
52121500,KG,2016-01-01,Quilograma,
52122100,KG,2016-01-01,Quilograma,
52122200,KG,2016-01-01,Quilograma,
52122300,KG,2016-01-01,Quilograma,
52122400,KG,2016-01-01,Quilograma,
52122500,KG,2016-01-01,Quilograma,
53011000,KG,2016-01-01,Quilograma,
53012110,KG,2016-01-01,Quilograma,
53012120,KG,2016-01-01,Quilograma,
53012910,KG,2016-01-01,Quilograma,
53012990,KG,2016-01-01,Quilograma,
53013000,KG,2016-01-01,Quilograma,
53021000,KG,2016-01-01,Quilograma,
53029000,KG,2016-01-01,Quilograma,
53031010,KG,2016-01-01,Quilograma,
53031090,KG,2016-01-01,Quilograma,
53039010,KG,2016-01-01,Quilograma,
53039090,KG,2016-01-01,Quilograma,
53050010,KG,2016-01-01,Quilograma,
53050090,KG,2016-01-01,Quilograma,
53061000,KG,2016-01-01,Quilograma,
53062000,KG,2016-01-01,Quilograma,
53071010,KG,2016-01-01,Quilograma,
53071090,KG,2016-01-01,Quilograma,
53072010,KG,2016-01-01,Quilograma,
53072090,KG,2016-01-01,Quilograma,
53081000,KG,2016-01-01,Quilograma,
53082000,KG,2016-01-01,Quilograma,
53089000,KG,2016-01-01,Quilograma,
53091100,KG,2016-01-01,Quilograma,
53091900,KG,2016-01-01,Quilograma,
53092100,KG,2016-01-01,Quilograma,
53092900,KG,2016-01-01,Quilograma,
53101010,KG,2016-01-01,Quilograma,
53101090,KG,2016-01-01,Quilograma,
53109000,KG,2016-01-01,Quilograma,
53110000,KG,2016-01-01,Quilograma,
54011011,KG,2016-01-01,Quilograma,
54011012,KG,2016-01-01,Quilograma,
54011090,KG,2016-01-01,Quilograma,
54012011,KG,2016-01-01,Quilograma,
54012012,KG,2016-01-01,Quilograma,
54012090,KG,2016-01-01,Quilograma,
54021100,KG,2016-01-01,Quilograma,
54021910,KG,2016-01-01,Quilograma,
54021990,KG,2016-01-01,Quilograma,
54022000,KG,2016-01-01,Quilograma,
54023111,KG,2016-01-01,Quilograma,
54023119,KG,2016-01-01,Quilograma,
54023190,KG,2016-01-01,Quilograma,
54023211,KG,2016-01-01,Quilograma,
54023219,KG,2016-01-01,Quilograma,
54023290,KG,2016-01-01,Quilograma,
54023310,KG,2016-01-01,Quilograma,
54023320,KG,2016-01-01,Quilograma,
54023390,KG,2016-01-01,Quilograma,
54023400,KG,2016-01-01,Quilograma,
54023900,KG,2016-01-01,Quilograma,
54024400,KG,2016-01-01,Quilograma,
54024510,KG,2016-01-01,Quilograma,
54024520,KG,2016-01-01,Quilograma,
54024590,KG,2016-01-01,Quilograma,
54024600,KG,2016-01-01,Quilograma,
54024710,KG,2016-01-01,Quilograma,
54024720,KG,2016-01-01,Quilograma,
54024790,KG,2016-01-01,Quilograma,
54024800,KG,2016-01-01,Quilograma,
54024910,KG,2016-01-01,Quilograma,
54024990,KG,2016-01-01,Quilograma,
54025110,KG,2016-01-01,Quilograma,
54025190,KG,2016-01-01,Quilograma,
54025200,KG,2016-01-01,Quilograma,
54025300,KG,01-01-2017,Quilograma,
54025900,KG,2016-01-01,Quilograma,
54026110,KG,2016-01-01,Quilograma,
54026190,KG,2016-01-01,Quilograma,
54026200,KG,2016-01-01,Quilograma,
54026300,KG,01-01-2017,Quilograma,
54026900,KG,2016-01-01,Quilograma,
54031000,KG,2016-01-01,Quilograma,
54033100,KG,2016-01-01,Quilograma,
54033200,KG,2016-01-01,Quilograma,
54033300,KG,2016-01-01,Quilograma,
54033900,KG,2016-01-01,Quilograma,
54034100,KG,2016-01-01,Quilograma,
54034200,KG,2016-01-01,Quilograma,
54034900,KG,2016-01-01,Quilograma,
54041100,KG,2016-01-01,Quilograma,
54041200,KG,2016-01-01,Quilograma,
54041911,KG,2016-01-01,Quilograma,
54041919,KG,2016-01-01,Quilograma,
54041990,KG,2016-01-01,Quilograma,
54049000,KG,2016-01-01,Quilograma,
54050000,KG,2016-01-01,Quilograma,
54060010,KG,2016-01-01,Quilograma,
54060020,KG,2016-01-01,Quilograma,
54071011,KG,2016-01-01,Quilograma,
54071019,KG,2016-01-01,Quilograma,
54071021,KG,2016-01-01,Quilograma,
54071029,KG,2016-01-01,Quilograma,
54072000,KG,2016-01-01,Quilograma,
54073000,KG,2016-01-01,Quilograma,
54074100,KG,2016-01-01,Quilograma,
54074200,KG,2016-01-01,Quilograma,
54074300,KG,2016-01-01,Quilograma,
54074400,KG,2016-01-01,Quilograma,
54075100,KG,2016-01-01,Quilograma,
54075210,KG,2016-01-01,Quilograma,
54075220,KG,2016-01-01,Quilograma,
54075300,KG,2016-01-01,Quilograma,
54075400,KG,2016-01-01,Quilograma,
54076100,KG,2016-01-01,Quilograma,
54076900,KG,2016-01-01,Quilograma,
54077100,KG,2016-01-01,Quilograma,
54077200,KG,2016-01-01,Quilograma,
54077300,KG,2016-01-01,Quilograma,
54077400,KG,2016-01-01,Quilograma,
54078100,KG,2016-01-01,Quilograma,
54078200,KG,2016-01-01,Quilograma,
54078300,KG,2016-01-01,Quilograma,
54078400,KG,2016-01-01,Quilograma,
54079100,KG,2016-01-01,Quilograma,
54079200,KG,2016-01-01,Quilograma,
54079300,KG,2016-01-01,Quilograma,
54079400,KG,2016-01-01,Quilograma,
