codigo	unidade	data_publicacao	data_validade	descricao_unidade	
3023900	KG	01/01/2016		Quilograma	
3024100	KG	01/01/2016		Quilograma	
3024210	KG	01/01/2016		Quilograma	
3024290	KG	01/01/2016		Quilograma	
3024300	KG	01/01/2016		Quilograma	
3024400	KG	01/01/2016		Quilograma	
3024500	KG	01/01/2016		Quilograma	
3024600	KG	01/01/2016		Quilograma	
3024700	KG	01/01/2016		Quilograma	
3024910	KG	01/01/2017		Quilograma	
3024990	KG	01/01/2017		Quilograma	
3025100	KG	01/01/2016		Quilograma	
3025200	KG	01/01/2016		Quilograma	
3025300	KG	01/01/2016		Quilograma	
3025400	KG	01/01/2016		Quilograma	
3025500	KG	01/01/2016		Quilograma	
3025600	KG	01/01/2016		Quilograma	
3025900	KG	01/01/2016		Quilograma	
3027100	KG	01/01/2016		Quilograma	
3027210	KG	01/01/2016		Quilograma	
3027290	KG	01/01/2016		Quilograma	
3027300	KG	01/01/2016		Quilograma	
3027400	KG	01/01/2016		Quilograma	
3027900	KG	01/01/2016		Quilograma	
3028100	KG	01/01/2016		Quilograma	
3028200	KG	01/01/2016		Quilograma	
3028310	KG	01/01/2016		Quilograma	
3028320	KG	01/01/2016		Quilograma	
3028400	KG	01/01/2016		Quilograma	
3028500	KG	01/01/2016		Quilograma	
3028910	KG	01/01/2017		Quilograma	
3028921	KG	01/01/2016		Quilograma	
3028922	KG	01/01/2016		Quilograma	
3028923	KG	01/01/2016		Quilograma	
3028924	KG	01/01/2016		Quilograma	
3028931	KG	01/01/2016		Quilograma	
3028932	KG	01/01/2016		Quilograma	
3028933	KG	01/01/2016		Quilograma	
3028934	KG	01/01/2016		Quilograma	
3028935	KG	01/01/2016		Quilograma	
3028936	KG	01/01/2016		Quilograma	
3028937	KG	01/01/2016		Quilograma	
3028938	KG	01/01/2016		Quilograma	
3028941	KG	01/01/2016		Quilograma	
3028942	KG	01/01/2016		Quilograma	
3028943	KG	01/01/2016		Quilograma	
3028944	KG	01/01/2016		Quilograma	
3028945	KG	01/01/2016		Quilograma	
3028990	KG	01/01/2016		Quilograma	
3029100	KG	01/01/2017		Quilograma	
3029200	KG	01/01/2017		Quilograma	
3029900	KG	01/01/2017		Quilograma	
3031100	KG	01/01/2016		Quilograma	
3031200	KG	01/01/2016		Quilograma	
3031300	KG	01/01/2016		Quilograma	
3031400	KG	01/01/2016		Quilograma	
3031900	KG	01/01/2016		Quilograma	
3032300	KG	01/01/2016		Quilograma	
3032410	KG	01/01/2016		Quilograma	
3032490	KG	01/01/2016		Quilograma	
3032500	KG	01/01/2016		Quilograma	
3032600	KG	01/01/2016		Quilograma	
3032900	KG	01/01/2016		Quilograma	
3033100	KG	01/01/2016		Quilograma	
3033200	KG	01/01/2016		Quilograma	
3033300	KG	01/01/2016		Quilograma	
3033400	KG	01/01/2016		Quilograma	
3033900	KG	01/01/2016		Quilograma	
3034100	KG	01/01/2016		Quilograma	
3034200	KG	01/01/2016		Quilograma	
3034300	KG	01/01/2016		Quilograma	
3034400	KG	01/01/2016		Quilograma	
3034500	KG	01/01/2016		Quilograma	
3034600	KG	01/01/2016		Quilograma	
3034900	KG	01/01/2016		Quilograma	
3035100	KG	01/01/2016		Quilograma	
3035300	KG	01/01/2016		Quilograma	
3035400	KG	01/01/2016		Quilograma	
3035500	KG	01/01/2016		Quilograma	
3035600	KG	01/01/2016		Quilograma	
3035700	KG	01/01/2016		Quilograma	
3035910	KG	01/01/2017		Quilograma	
3035920	KG	01/01/2017		Quilograma	
3035990	KG	01/01/2017		Quilograma	
3036300	KG	01/01/2016		Quilograma	
3036400	KG	01/01/2016		Quilograma	
3036500	KG	01/01/2016		Quilograma	
3036600	KG	01/01/2016		Quilograma	
3036700	KG	01/01/2016		Quilograma	
3036800	KG	01/01/2016		Quilograma	
3036910	KG	01/01/2016		Quilograma	
3036990	KG	01/01/2016		Quilograma	
3038111	KG	01/01/2016		Quilograma	
3038112	KG	01/01/2016		Quilograma	
3038113	KG	01/01/2016		Quilograma	
3038114	KG	01/01/2016		Quilograma	
3038119	KG	01/01/2016		Quilograma	
3038190	KG	01/01/2016		Quilograma	
3038200	KG	01/01/2016		Quilograma	
3038311	KG	01/01/2016		Quilograma	
3038319	KG	01/01/2016		Quilograma	
3038321	KG	01/01/2016		Quilograma	
3038329	KG	01/01/2016		Quilograma	
3038400	KG	01/01/2016		Quilograma	
3038910	KG	01/01/2016		Quilograma	
3038920	KG	01/01/2016		Quilograma	
3038932	KG	01/01/2016		Quilograma	
3038933	KG	01/01/2016		Quilograma	
3038941	KG	01/01/2016		Quilograma	
3038942	KG	01/01/2016		Quilograma	
3038943	KG	01/01/2016		Quilograma	
3038944	KG	01/01/2016		Quilograma	
3038945	KG	01/01/2016		Quilograma	
3038946	KG	01/01/2016		Quilograma	
3038951	KG	01/01/2016		Quilograma	
3038952	KG	01/01/2016		Quilograma	
3038953	KG	01/01/2016		Quilograma	
3038954	KG	01/01/2016		Quilograma	
3038955	KG	01/01/2016		Quilograma	
3038956	KG	01/01/2016		Quilograma	
3038961	KG	01/01/2016		Quilograma	
3038962	KG	01/01/2016		Quilograma	
3038963	KG	01/01/2016		Quilograma	
3038964	KG	01/01/2016		Quilograma	
